country,Health,Trade,Finance
Afghanistan,-0.598539,0.0938719,0.15728
Albania,0.156434,-0.209825,-0.0610033
Algeria,0.00394545,-0.135293,-0.132424
Angola,-0.655346,0.278008,-0.139221
AntiguaandBarbuda,0.204535,-0.0667392,-0.103532
Argentina,0.111128,-0.204464,0.11961
Armenia,0.0888458,-0.244763,-0.153517
Australia,0.444128,0.0151481,0.267504
Austria,0.525343,0.112863,0.241956
Azerbaijan,0.0427994,-0.124449,-0.0784161
Bahamas,0.251222,-0.035132,0.0814872
Bahrain,0.277668,0.0843972,-0.148768
Bangladesh,-0.102643,-0.251238,-0.124421
Barbados,0.232515,-0.105485,0.0263462
Belarus,0.183593,-0.104145,-0.191397
Belgium,0.492498,0.244323,0.135703
Belize,0.0363222,-0.0536309,-0.174358
Benin,-0.576735,0.0905841,-0.0205367
Bhutan,-0.00755028,-0.0622283,-0.173051
Bolivia,-0.120429,-0.0992538,-0.104747
BosniaandHerzegovina,0.263146,-0.223604,0.136219
Botswana,-0.154387,0.0288329,0.0398397
Brazil,0.141538,-0.263884,0.179326
Brunei,0.424732,0.192682,-0.160361
Bulgaria,0.207291,-0.124519,-0.0907264
Burkina Faso,-0.65839,0.11418,0.139467
Burundi,-0.615487,0.115283,0.375885
Cambodia,-0.109686,-0.0304476,-0.143064
Cameroon,-0.574481,0.0619302,0.040043
Canada,0.480388,0.0293608,0.334799
Cape Verde,-0.009005,-0.110302,-0.185137
CentralAfricanRepublic,-0.78502,0.111213,0.0256312
Chad,-0.80674,0.274812,0.0111719
Chile,0.239416,-0.157924,0.0493568
China,0.12615,-0.278609,-0.0882552
Colombia,0.118766,-0.27188,0.0817332
Comoros,-0.434837,0.0289806,-0.0410984
CongoDem.Rep.,-0.69268,0.246239,0.127499
CongoRep.,-0.397285,0.204732,-0.285806
Costa Rica,0.23972,-0.195652,0.176782
Cote d'Ivoire,-0.577642,0.183792,-0.0298181
Croatia,0.262725,-0.152738,0.02414
Cyprus,0.408597,0.0154259,-0.0691225
CzechRepublic,0.365332,0.013502,-0.0493266
Denmark,0.508454,0.187537,0.316036
DominicanRepublic,0.0106961,-0.166268,-0.00566852
Ecuador,0.0516798,-0.172536,0.0718511
Egypt,-0.098414,-0.166935,-0.0621435
ElSalvador,0.0695917,-0.184922,-0.0271327
EquatorialGuinea,-0.388396,0.453939,-0.112684
Eritrea,-0.420166,-0.114434,-0.0827096
Estonia,0.293806,0.0178785,-0.183762
Fiji,-0.0323036,-0.0225014,-0.201703
Finland,0.436328,0.0691492,0.197411
France,0.419901,-0.00281181,0.362428
Gabon,-0.277982,0.0633025,-0.119645
Gambia,-0.490324,0.0722191,0.0387155
Georgia,0.13154,-0.16904,0.0850004
Germany,0.491398,0.0378747,0.290642
Ghana,-0.378994,0.0177406,-0.0476453
Greece,0.37794,-0.12864,0.230394
Grenada,0.0819539,-0.161056,-0.0631398
Guatemala,-0.101,-0.119296,0.0288341
Guinea,-0.593713,0.120136,-0.0180926
GuineaBissau,-0.583106,0.0778499,0.203719
Guyana,-0.0629942,0.00838756,-0.188435
Haiti,-0.831727,0.225588,0.0652439
Hungary,0.328172,0.0290567,-0.163169
Iceland,0.424565,0.106821,0.169987
India,-0.168258,-0.171551,-0.10355
Indonesia,-0.0722082,-0.211657,-0.181731
Iran,0.1182,-0.237544,-0.0419267
Iraq,-0.214051,0.0221133,0.114111
Ireland,0.523185,0.373977,0.0136867
Israel,0.250698,0.00544091,0.1233
Italy,0.43024,-0.0698701,0.222834
Jamaica,0.0753569,-0.172813,-0.144242
Japan,0.464106,-0.095998,0.290519
Jordan,-0.00769282,0.00944395,-0.0150294
Kazakhstan,0.0125245,-0.0845804,-0.132791
Kenya,-0.361495,-0.0475411,-0.0251418
Kiribati,-0.255838,0.0287734,0.207714
Kuwait,0.397021,0.214079,-0.152134
Kyrgyz Republic,-0.0660247,0.00186414,-0.157425
Lao,-0.266721,-0.0237109,-0.123211
Latvia,0.251405,-0.0957604,-0.102133
Lebanon,0.258939,-0.145394,-0.0625442
Lesotho,-0.384755,0.195828,0.109822
Liberia,-0.42051,0.170224,0.238246
Libya,0.16375,-0.00207258,-0.205086
Lithuania,0.271568,-0.0248977,-0.127669
Luxembourg,0.943565,1.03616,-0.117467
MacedoniaFYR,0.195656,-0.166605,-0.0820297
Madagascar,-0.406419,-0.00812615,-0.0990787
Malawi,-0.585329,0.0751351,0.0851337
Malaysia,0.199505,0.0537449,-0.293484
Maldives,0.191766,-0.0206257,-0.179744
Mali,-0.762593,0.197911,0.0721614
Malta,0.51261,0.42211,-0.340501
Mauritania,-0.428802,0.156089,-0.124825
Mauritius,0.196319,-0.0895954,-0.146659
MicronesiaFedSts,-0.0973405,0.0136217,0.311383
Moldova,0.17452,-0.138143,0.0856035
Mongolia,-0.0596853,-0.0730069,-0.165933
Montenegro,0.226457,-0.132535,0.0271733
Morocco,-0.008355,-0.150233,-0.0984316
Mozambique,-0.621111,0.144906,-0.00373009
Myanmar,-0.208347,-0.300627,-0.116862
Namibia,-0.229705,0.0768452,-0.0396284
Nepal,-0.133629,-0.210564,-0.0485109
Netherlands,0.539134,0.245727,0.239849
New Zealand,0.345289,-0.0304842,0.250534
Niger,-0.812613,0.259611,0.0756284
Nigeria,-0.737899,0.120664,0.0320458
Norway,0.620516,0.318858,0.371598
Oman,0.180723,0.0998198,-0.21613
Pakistan,-0.401212,-0.0932025,-0.114227
Panama,0.169319,0.0486652,-0.0801306
Paraguay,0.0376914,-0.079557,-0.127095
Peru,0.0661172,-0.218336,-0.0634556
Philippines,-0.117524,-0.123957,-0.15897
Poland,0.281852,-0.148363,-0.00978046
Portugal,0.379863,-0.122555,0.220524
Qatar,0.63583,0.482051,-0.0495178
Romania,0.180373,-0.185435,-0.0896885
Russia,0.143641,-0.196636,-0.0729656
Rwanda,-0.325269,-0.0627466,0.275902
Samoa,-0.134232,-0.0456863,-0.00697174
Saudi Arabia,0.147973,0.0620806,-0.0937741
Senegal,-0.412344,0.0234031,0.0202403
Serbia,0.236618,-0.200101,0.106449
Seychelles,0.203337,0.168391,-0.406551
Sierra Leone,-0.676706,0.161755,0.4411
Singapore,0.763056,0.79946,-0.600137
Slovak Republic,0.353241,0.0533314,-0.0656455
Slovenia,0.396461,0.0316923,0.0403453
Solomon Islands,-0.199952,0.0814392,-0.00495197
South Africa,-0.170071,-0.0672023,0.13545
South Korea,0.391257,-0.0722084,-0.0378378
Spain,0.416111,-0.112046,0.202946
Sri Lanka,0.0373824,-0.272507,-0.188822
StVincent and the Grenadines,0.0641641,-0.147671,-0.156766
Sudan,-0.418089,-0.0381176,0.0924792
Suriname,0.0576898,-0.0683747,-0.0335169
Sweden,0.478618,0.13466,0.227931
Switzerland,0.667174,0.324223,0.324293
Tajikistan,-0.193883,-0.0879858,-0.0344071
Tanzania,-0.505561,0.0196474,0.0717532
Thailand,0.200223,-0.0926416,-0.287031
TimorLeste,-0.453404,0.00208882,0.275357
Togo,-0.458383,0.131767,0.0606832
Tonga,-0.132358,-0.0948071,-0.0674825
Tunisia,0.143862,-0.118399,-0.123937
Turkey,0.143495,-0.195405,0.0374332
Turkmenistan,-0.110466,0.0326253,-0.29368
Uganda,-0.599721,0.0868735,0.245852
Ukraine,0.156773,-0.177396,-0.0703756
United Arab Emirates,0.393717,0.22846,-0.209228
United Kingdom,0.393391,-0.0114482,0.235408
United States,0.48702,0.0340335,0.731245
Uruguay,0.179787,-0.187234,0.10534
Uzbekistan,-0.0512392,-0.198088,-0.0643199
Vanuatu,-0.159183,-0.0301411,-0.120171
Venezuela,0.0596883,-0.169926,-0.0578991
Vietnam,0.112321,-0.0303406,-0.197292
Yemen,-0.336103,-0.0180546,-0.028438
Zambia,-0.57482,0.107919,0.0326164
